Hanja,mean,sound,meanFiveElements,soundFiveElements
蛙,"개구리, 개구리 , 음란하다 , 사특하다 좋지않은 의미 문자 ",와,수,토
蟯,"요충, 요충 좋지않은 의미 문자 ",요,수,토
豉,"메주, 메주 , 된장 , 청국장 좋지않은 의미 문자 ",시,목,금
霞,"노을, 놀, 멀다, 새우 좋지않은 의미 문자 ",하,수,토
蕪,"거칠, 거칠다, 어지럽다, 달아나다, 순무 좋지않은 의미 문자 ",무,목,수
淋,"물뿌릴,임질, 임질 , 장마 , 긴 모양 ,뿌리다 좋지않은 의미 문자 ",임,수,토수
遐,"멀, 멀다 좋지않은 의미 문자 ",하,토,토
痤,"부스럼, 부스럼 , 뾰루지 , 종기 , 등창 좋지않은 의미 문자 ",좌,수,금
慘,"슬플, 참혹하다, 아프다, 근심하다, 혹독하다, 비통하다, 춥다 좋지않은 의미 문자 ",참,화,금수
嚴,"엄할, 엄하다, 혹독하다, 엄격하다, 엄밀하다, 지독하다, 빈틈없다 좋지않은 의미 문자 ",엄,수,토수성(姓)씨 사용
捏,"꾸밀, 이기다, 반죽하다,있는 것처럼속이다 좋지않은 의미 문자 ",날,목,화
瘧,"학질, 학질(열병) , 말라리아 좋지않은 의미 문자 ",학,수,토목
噎,"목멜, 목메다 , 근심하다 , 가로막다 , 덮어서 막다 , 울음소리 좋지않은 의미 문자 ",열,수,토화
薨,"훙서, 훙서하다(귀인이 죽음) 좋지않은 의미 문자 ",훙,목,토
呵,"꾸짖을, 꾸짖다 , 헐뜯다 , 불다, 껄껄 웃다 , 갈도하다 좋지않은 의미 문자 ",가,수,목
腶,"약포(육포), 마른 고기를 두들겨 생강, 육포 좋지않은 의미 문자 ",단,수,화
貔,"비휴, 비휴 , 맹수 이름 , 너구리 좋지않은 의미 문자 ",비,수,수
恈,"탐할, 탐하다 , 탐내는 모양 , 탐내어 아끼는 모양 , 탐하다 좋지않은 의미 문자 ",모,화,수
瘈,"미칠, 미치다 , 경풍 좋지않은 의미 문자 ",계,수,목
乖,"어그러질, 어그러지다, 거스르다, 떨어지다, 가르다 좋지않은 의미 문자 ",괴,화,목
蘇,"깨어날, 차조기 좋지않은 의미 문자 ",소,목,금성(姓)씨 사용
免,"면할, 면하다, 벗어나다, 벗다, 놓다, 허락하다, 내치다 좋지않은 의미 문자 ",면,목,수화
啾,"어린애의 작은 소리, 어린애의 작은 소리 , 작은 소리 , 읊조리다 , 떠들썩 하다 좋지않은 의미 문자 ",추,수,금
頿,"윗수염, 윗수염 , 코밑수염 , 머리 예쁘다 좋지않은 의미 문자 ",자,화,금
仄,"기울, 기울다, 어렴풋하다 좋지않은 의미 문자 ",측,화,금목
蠶,"누에, 누에 좋지않은 의미 문자 ",잠,수,금수
灓,"새어 흐를, 새어 흐르다 , 적시다 좋지않은 의미 문자 ",란,수,화
瞖,"흐릴, 흐리다 ,백태가 끼다 , 안질 좋지않은 의미 문자 ",예,목,토
抗,"항거할, 막다, 들다, 겨루다, 높다 좋지않은 의미 문자 ",항,목,토
瀒,"깔깔할, 깔깔하다 , 떫다 , 돌담 무늬 좋지않은 의미 문자 ",색,수,금목
嫠,"과부,홀어미, 과부 , 홀어머니 좋지않은 의미 문자 ",리,토,화
汶,"물, 내 이름, 물이름, 수치 치욕 좋지않은 의미 문자 ",문,수,수화
妾,"첩, 첩, 소실, 계집아이 좋지않은 의미 문자 ",첩,토,금수
喝,"꾸짖을, 꾸짖다, 큰소리 좋지않은 의미 문자 ",갈,수,목화
漤,"과실 짱아찌, 과실짱아찌, 감을 우리다 좋지않은 의미 문자 ",남,수,화수
睫,"속눈썹, 속눈썹, (눈을) 감다 좋지않은 의미 문자 ",첩,목,금수
墳,"무덤, 무덤, 언덕, 둑, 책, 나누다, 크다, 비옥하다, 토지가 솟아 오르다 좋지않은 의미 문자 ",분,토,수화
姙,"아이밸, 아이를 배다 (妊과 同字) 좋지않은 의미 문자 ",임,토,토수
愎,"강퍅할, 괴퍅하다, 너그럽지 못하다, 어긋나다, 남의 말을 듣지 아니하다 좋지않은 의미 문자 ",퍅,화,수목
詛,"저주할, 저주하다, 저주, 헐뜯다 좋지않은 의미 문자 ",저,금,금
蠍,"전갈(동물), 전갈 (맹독성 동물) 좋지않은 의미 문자 ",갈,수,목화
過,"지날, 지나다, 지나치다, 예전, 잘못하다, 허물, 나무라다, 들리다, 괘 이름(巽下兌上) 좋지않은 의미 문자 ",과,토,목
鏦,"창(무기), 창 , 쇳소리의 형용 , 찌르다 좋지않은 의미 문자 ",총,금,금토
無,"없을, 없음, 아니다(부정), 말다(금지) 좋지않은 의미 문자 ",무,화,수
鱠,"회, 회(얇게 썬 고기) , 뱅어(민물고기) 좋지않은 의미 문자 ",회,수,토
嫠,"과부,홀어미, 과부 , 홀어머니 좋지않은 의미 문자 ",이,토,토
壇,"단,제단, 흙을 높이 쌓아 위가 평평하게 만든 특수한 행사를 하는 장소 좋지않은 의미 문자 ",단,토,화
娓,"장황할, 장황하다, 힘쓰다, 예쁘다, 되풀이 하다, 따르다 좋지않은 의미 문자 ",미,토,수
跪,"꿇어앉을, 꿇어앉다 , 무릎 꿇고 절하다 , 발 , 집게발 좋지않은 의미 문자 ",궤,토,목
逕,"좁은 길, 좁은 길, 자취, 지나다 , 가깝다 , 지르다 , 곧 좋지않은 의미 문자 ",경,토,목토
惻,"슬퍼할, 슬퍼하다 좋지않은 의미 문자 ",측,화,금목
羂,"올무,올가미, 올무 , 그물 , 붙들어매다 , 얽다 , 옭다 , 휘감다 , 좋지않은 의미 문자 ",견,목,목화
抑,"누를, 누르다, 굽히다, 물러나다, 가라앉다 , 막다, 아름답다, 조심하다, 우울해지다 좋지않은 의미 문자 ",억,목,토목
蹉,"미끄러질, 넘어지다, 지나다 좋지않은 의미 문자 ",차,토,금
舌,"혀, 혀 , 말 좋지않은 의미 문자 ",설,화,금화
濫,"물넘칠, 넘치다, 뜨다, 띄우다, 담그다, 번지다 좋지않은 의미 문자 ",람,수,화수
埼,"굽은낭떠러지, 갑(바다로 뽀족하게 내민 땅. 해안 머리) 좋지않은 의미 문자 ",기,토,목
賂,"뇌물, 뇌물을 주다, 뇌물 좋지않은 의미 문자 ",뢰,금,화
痰,"가래, 가래, 천식 , 위병, 습담이 돌아다 좋지않은 의미 문자 ",담,수,화수
跟,"발꿈치, 발꿈치 , 뒤따르다 , 시중들다 좋지않은 의미 문자 ",근,토,목화
殘,"잔인할, 해치다, 멸하다, 죽이다, 잔인하다, 사납다, 쇠잔하다 좋지않은 의미 문자 ",잔,수,금화
聵,"귀머거리, 귀머거리 , 배내 귀머거리 좋지않은 의미 문자 ",외,화,토
毆,"때릴, 때리다, 치다, 지명 좋지않은 의미 문자 ",구,금,목
遽,"급할, 역말(역참의 말), 급히, 갑자기, 당황하다, 놀라다, 두려워하다 좋지않은 의미 문자 ",거,토,목
兒,"儿, 아이, 아기, 젖먹이, 젊은 남자의 애칭, 나이가 어린 사람 좋지않은 의미 문자 ",예,수,토
猱,"원숭이, 희롱 거리다, 농지 거리 하다 좋지않은 의미 문자 ",노,토,화
駽,"돗총이, 돗총이(검푸른 말) , 철총이 (검푸른 말) 좋지않은 의미 문자 ",현,화,토화
賊,"도적, 도둑(질하다), 해치다, 그르치다, 죽이다, 역적 좋지않은 의미 문자 ",적,금,금목
戎,"병장기,오랑캐, 병장기, 싸움, 수레, 군사, 싸움, 오랑캐 좋지않은 의미 문자 ",융,금,토
艱,"어려울, 어렵다, 괴롭다, 어렵게 여기다, 괴로워하다 좋지않은 의미 문자 ",간,토,목화
揄,"야유할, 끌다, 빈정거리다, 퍼내다 좋지않은 의미 문자 ",유,목,토
敝,"해질, 해지다 , 깨지다 , 지다 , 버리다 , 황폐하다 , 해지다 , 줌통 좋지않은 의미 문자 ",폐,금,수
蝠,"박쥐, 박쥐 , 살무사 좋지않은 의미 문자 ",복,수,수목
豕,"돼지, 돼지 좋지않은 의미 문자 ",시,수,금
猴,"원숭이, 원숭이 좋지않은 의미 문자 ",후,토,토
嗟,"탄식할, 탄식하다, 감탄하다, 탄식, 감탄 좋지않은 의미 문자 ",차,수,금
脹,"부을, (배가) 부르다 좋지않은 의미 문자 ",창,수,금토
貂,"담비(족제비류), 딤비 좋지않은 의미 문자 ",초,수,금
乘,"탈, 타다, 태우다, 오르다, 이기다, 업신여기다, 꾀하다, 곱셈 좋지않은 의미 문자 ",승,화,금토
渣,"찌끼, 찌꺼기 , 강의 이름 좋지않은 의미 문자 ",사,수,금
螘,"개미, 개미 , 검은 빛깔 , 술구더기 , 미천함의 비유 좋지않은 의미 문자 ",의,수,토
娼,"창녀, 창녀, 여광대, 노는 계집, 갈보 좋지않은 의미 문자 ",창,토,금토
塉,"메마른 땅, 메마른 땅 , 척박한 땅 , 메마르다 좋지않은 의미 문자 ",척,토,금목
倒,"넘어질, 반대로되다, 실패하다 좋지않은 의미 문자 ",도,화,화
獰,"모질, 모질다, 사납다, 흉악하다 좋지않은 의미 문자 ",영,토,토
剺,"벗길(나눌), 벗기다 , 칼로 베다 , 가르다 , 나누다 , 구획하다 좋지않은 의미 문자 ",리,금,화
踝,"복사뼈,발꿈치, 복사뼈 , 발꿈치 , 딴딴한 모양 좋지않은 의미 문자 ",과,토,목
檐,"처마, 처마 , 전 , 지다 좋지않은 의미 문자 ",첨,목,금수
噲,"목구멍, 목구멍 , 시원하다, 밝다, 까칠까칠하다 좋지않은 의미 문자 ",쾌,수,목
赧,"얼굴 붉힐, 얼굴 붉히다 , 무안 하다 , 두려워하다 , 겁내다 좋지않은 의미 문자 ",난,화,화
稂,"강아지풀, 강아지풀(한해살이풀) , 가라지 좋지않은 의미 문자 ",낭,목,화토
貘,"짐승 이름, 짐승 이름 , 맹수 이름 , 표범의 딴 이름 , 북방 종족 좋지않은 의미 문자 ",맥,수,수목
躅,"머뭇거릴, 머뭇거리다 , 밟다 , 자취 좋지않은 의미 문자 ",촉,토,금목
箝,"재갈먹일, 끼우다, 항쇄(쇄사슬로 목을 맴), 재갈을 먹이다 좋지않은 의미 문자 ",겸,목,목수
譃,"거짓말할, 거짓말하다 , 거짓말 좋지않은 의미 문자 ",후,금,토
諴,"화동할, 화동하다 , 버릇없이 까불다 좋지않은 의미 문자 ",함,금,토수
妯,"동서(친척의 일종), 동서 , 두근거리다 , 슬퍼하다 , 서러워하다 좋지않은 의미 문자 ",축,토,금목
癥,"적취,어혈, 적취 , 어혈 좋지않은 의미 문자 ",징,수,금토
否,"아니, 아니다 , 부정하다 , 불가하다 , 없다 좋지않은 의미 문자 ",부,수,수
拆,"터질, 터지다 , 갈라지다 , 부수다 , 분해하다 , 포개다 좋지않은 의미 문자 ",탁,목,화목
怏,"원망할, 원망하다 , 납득하지 아니하다 , 불만스럽다 , 앙심을 먹다 좋지않은 의미 문자 ",앙,화,토
慼,"근심할, 근심하다 , 서러워하다 , 슬퍼하다 , 근심 좋지않은 의미 문자 ",척,화,금목
憃,"천치,어리석을, 천치 , 어리석어 사리에 어두운 사람 , 어리석다 , 어리석다 좋지않은 의미 문자 ",용,화,토
薉,"거칠, 거칠다 , 더럽다 , 더럽히다 , 더러워지다 , 악하다 , 잡초 좋지않은 의미 문자 ",예,목,토
諱,"숨길, 꺼리다, 숨기다 좋지않은 의미 문자 ",휘,금,토
蒨,"꼭두서니(풀이름), 꼭두서니 , 성의 하나 , 선명하다 좋지않은 의미 문자 ",천,목,금화
錘,"저울추, 중량 이름(8 銖), 저울추, 도가니 좋지않은 의미 문자 ",추,금,금
臚,"살갗, 배의 앞 , 제사이름 , 펴다 , 펼쳐 놓다 좋지않은 의미 문자 ",려,수,화
辣,"매울, (맛이) 맵다 좋지않은 의미 문자 ",랄,금,화
曪,"햇빛 없을, 햇빛이 없다 , 어둡다 좋지않은 의미 문자 ",라,화,화
豸,"벌레, 벌레, 해치 , 풀리다 , 웅크리고 노려보다 , 해태 좋지않은 의미 문자 ",치,수,금
妊,"아이밸, 아이를 배다, 임신하다 좋지않은 의미 문자 ",임,토,토수
腹,"배, 배, 두텁다, 껴안다 좋지않은 의미 문자 ",복,수,수목
忙,"바쁠, 바쁘다, 빠르다, 애타다, 초조하다 좋지않은 의미 문자 ",망,화,수토
捶,"때릴, 때리다 , 매질하다 , 종아리 치다 , 채찍질하다 , 찧다, 종아리채 좋지않은 의미 문자 ",추,목,금
哭,"울, 울다, 곡하다 좋지않은 의미 문자 ",곡,수,목
漏,"샐, 새다, 틈이 나다, 빠뜨리다, 구멍 좋지않은 의미 문자 ",루,수,화
瘡,"부스럼, 부스럼, 상처 좋지않은 의미 문자 ",창,수,금토
堀,"굴(땅굴), 토굴, (땅을) 파다 좋지않은 의미 문자 ",굴,토,목화
屎,"똥, 똥, 분비물 , 서툴다 , 끙끙거리다 , 신음하다 , 앓다 좋지않은 의미 문자 ",시,수,금
忒,"틀릴, 틀리다, 의심하다, 변하다 좋지않은 의미 문자 ",특,화,화목
蛞,"올챙이, 올챙이 , 새끼 두꺼비 좋지않은 의미 문자 ",활,수,토화
朧,"흐릿할, 흐릿하다, 분명하지 않다 좋지않은 의미 문자 ",롱,수,화토
鷦,"뱁새, 뱁새 , 황작 , 교부조 좋지않은 의미 문자 ",초,화,금
陜,"좁을,땅 이름, 땅이름 좋지않은 의미 문자 ",합,토,토수
荻,"물억새, 물억새 좋지않은 의미 문자 ",적,목,금목
蜥,"도마뱀, 도마뱀 좋지않은 의미 문자 ",석,수,금목
敗,"패할, 패하(게 하)다, 지다, 무너지다, 무너뜨리다, 부수다, 썩다 좋지않은 의미 문자 ",패,금,수
耰,"곰방메(농기구이름), 곰방메, 씨앗 덮다 , 갈다 좋지않은 의미 문자 ",우,토,토
嶙,"가파를, 가파르다 , 깊숙하다 , 높이 솟다 , 강직하다, 앙상하다 , 좋지않은 의미 문자 ",린,토,화
礁,"암초, 숨어 있는 바위 암초 좋지않은 의미 문자 ",초,금,금
耗,"소모할, 벼, 동정, 동태, 소식, 덜리다, 덜다, 어지럽다, 쓰다, 없애다 좋지않은 의미 문자 ",모,목,수
螂,"사마귀, 사마귀, 쇠똥구리 좋지않은 의미 문자 ",랑,수,화토
渝,"변할, 변하다, 넘치다 풀리다 좋지않은 의미 문자 ",투,수,화
繚,"감길,묽을, 감기다 , 두르다 , 비틀다 , 묶다 , 다스리다 좋지않은 의미 문자 ",료,목,화
鼾,"코 고는 소리, 코 고는 소리 , 잠자는 숨결 , 코 골다 좋지않은 의미 문자 ",한,금,토화
蟻,"개미, 개미, 검다 좋지않은 의미 문자 ",의,수,토
漤,"과실 짱아찌, 과실짱아찌, 감을 우리다 좋지않은 의미 문자 ",람,수,화수
昃,"기울, 기울다 , 하오 좋지않은 의미 문자 ",측,화,금목
刺,"찌를, 좋지않은 의미 문자 ",척,금,금목
披,"헤칠, 헤치다, 열다, 펴다, 나누다, 찢어지다 좋지않은 의미 문자 ",피,목,수
弄,"희롱할, 희롱하다, 놀다, 멋대로 쓰다, 업신여기다 좋지않은 의미 문자 ",롱,금,화토
炰,"통째로 구울, 통째로 굽다 , 대단하다 , 거칠다 , 용맹스럽다 좋지않은 의미 문자 ",포,화,수
刱,"비롯할,다칠, 비롯하다 , 시작하다 , 다치다 , 상하다 , 징계하다 좋지않은 의미 문자 ",창,금,금토
蓼,"여뀌, 여뀌(풀이름) 좋지않은 의미 문자 ",료,목,화
灾,"재앙, 재앙 , 화재 , 죄악 , 불태우다 , 재앙을 내리다 좋지않은 의미 문자 ",재,화,금
鱧,"가물치, 가물치 , 칠성장어 좋지않은 의미 문자 ",예,수,토
障,"막힐, 막다 막히다, 밭두둑길 둑, 보루, 병풍 장지 울, 지경 간막이 좋지않은 의미 문자 ",장,토,금토
髡,"머리털 깎을,승려, 머리 깎다 , 나무의 가지를 치다 , 승려 좋지않은 의미 문자 ",곤,화,목화
妒,"강샘할, 몹시시기할 , 투기하다 좋지않은 의미 문자 ",투,토,화
嫚,"업신여길, 업신여기다 , 깔보다 , 더럽히다 , 음란하게 굴다 , 욕보이다 좋지않은 의미 문자 ",만,토,수화
凌,"업신여길, 얼음, 얼음 곳간, 떨다, 건너다 좋지않은 의미 문자 ",릉,수,화토
拔,"뺄, 빼다, 가리다, 빠르다, 덜어버리다, 빼어나다, 성하다 좋지않은 의미 문자 ",발,목,수화
饕,"탐할, 탐하다, 과도하다 , 사납다 , 광포하다 좋지않은 의미 문자 ",도,수,화
鴟,"올빼미, 올빼미 , 수리부엉이 , 솔개 , 술 부대 좋지않은 의미 문자 ",치,화,금
祭,"제사, 제사(를 지내다) 좋지않은 의미 문자 ",제,목,금
顇,"야윌, 야위다 , 병들다 , 근심하다 , 순수하다 좋지않은 의미 문자 ",췌,화,금
影,"그림자, 그림자 , 환상, 형상, 초상, 햇볕, 빛, 음덕 좋지않은 의미 문자 ",영,화,토
怩,"부끄러워할, 부끄러워하다 , 겸연쩍어하다 좋지않은 의미 문자 ",니,화,화
了,"마칠, 마치다, 깨닫다, 똑똑하다, 끝나다, 마침내 불용문자좋지않은 의미 문자 ",요,금,토
誢,"말다툼할, 말다툼하다 , 다투며 말하다 , 간하는 말 좋지않은 의미 문자 ",현,금,토화
慴,"두려워할, 두려워하다 , 두려워서 벌벌 떨다 , 으르다 좋지않은 의미 문자 ",습,화,금수
猖,"미쳐날뛸, 미쳐 날뛰다, 어지럽다 좋지않은 의미 문자 ",창,토,금토
歠,"들이마실, 들이마시다 , 마시게 하다 , 마시는 음식 좋지않은 의미 문자 ",철,화,금화
炕,"마를, 마르다 , 굽다 , 자랑하다 , 끊다 , 높다 , 조급하다 좋지않은 의미 문자 ",항,화,토
尼,"여승, 중, 여승, 가깝다, 정지시키다 좋지않은 의미 문자 ",니,수,화
騸,"불깔,거세할, 불까다 , 거세하다 , 접붙이다 좋지않은 의미 문자 ",선,화,금화
幨,"수레 휘장(장막), 수레 휘장 , 옷깃, 끊다 좋지않은 의미 문자 ",첨,목,금수
鋹,"날카로울, 날카롭다 , 예리하다 , 사람의 이름 좋지않은 의미 문자 ",창,금,금토
狂,"미칠, 미치다, 경망하다, 사납다, 광병, 광인 좋지않은 의미 문자 ",광,토,목토
沰,"떨어뜨릴, 떨어뜨리다 , 떨어지다 , 붉다 좋지않은 의미 문자 ",탁,수,화목
緡,"낚싯줄, 낚싯줄, 돈꿰미, 입다, 입히다, 합하다, 성하다 좋지않은 의미 문자 ",민,목,수화
醴,"단술, 단술, 감주, 달다 좋지않은 의미 문자 ",예,금,토
螽,"메뚜기, 메뚜기 , 베짱이 , 마디충 좋지않은 의미 문자 ",종,수,금토
酖,"즐길, 즐기다 , 빠지다 좋지않은 의미 문자 ",탐,금,화수
臆,"가슴, 가슴 , 가슴뼈 , 마음 , 생각 , 막히다 , 억제하다 좋지않은 의미 문자 ",억,수,토목
癜,"어루러기, 어루러기 , 피부병 좋지않은 의미 문자 ",전,수,금화
撫,"어루만질, 어루만지다, 좇다, 누르다, 기대다, 치다 좋지않은 의미 문자 ",무,목,수
唼,"쪼아먹을, 쪼아먹다 ,바르다, 헐뜯다, 참소하다 좋지않은 의미 문자 ",삽,수,금수
瞢,"어두울, 어둡다 , 부끄러워하다 , 번민하다 좋지않은 의미 문자 ",몽,목,수토
釁,"피 칠할,틈, 피 칠하다 , 움직이다 , 훈제하다 좋지않은 의미 문자 ",흔,금,토화
恨,"원한, 한하다, 뉘우치다, 원한, 유감, 원통하다, 원망스럽다 좋지않은 의미 문자 ",한,화,토화
堞,"성가퀴(성위의 담), 성가퀴, 성위의 담 좋지않은 의미 문자 ",첩,토,금수
落,"떨어질, 떨어지다, 떨어뜨리다, 낙엽, 이루다, 빗방울, 울타리 불용문자좋지않은 의미 문자 ",락,목,화목
坑,"빠질, 구덩이, 구덩이에 묻다 좋지않은 의미 문자 ",갱,토,목토
齲,"충치, 충치 , 잇병 , 덧니 , 이가 아프다 좋지않은 의미 문자 ",우,금,토
嫌,"싫어할, 싫어하다, 의심하다 좋지않은 의미 문자 ",혐,토,토수
豖,"발 얽은 돼지의 걸음, 발 얽은 돼지의 걸음 , 발 얽은 돼지의 걸음 , 돼지 좋지않은 의미 문자 ",축,수,금목
羞,"부끄러울, 나가다, 드리다, 음식, 부끄러워하다, 부끄럼, 수치 좋지않은 의미 문자 ",수,토,금
債,"빚질, 빚, 빚진 돈 좋지않은 의미 문자 ",채,화,금
了,"마칠, 마치다, 깨닫다, 똑똑하다, 끝나다, 마침내 불용문자좋지않은 의미 문자 ",료,금,화
藐,"멀, 멀다 , 작다 , 어둡다, 가벼이 보다 , 업신여기다 , 약하다 , 아름답다 좋지않은 의미 문자 ",묘,목,수
嗛,"겸손할, 흉년들, 겸손하다, 흉년 들다, 모자라다, 부족하다 좋지않은 의미 문자 ",겸,목,목수
嶙,"가파를, 가파르다 , 깊숙하다 , 높이 솟다 , 강직하다, 앙상하다 , 좋지않은 의미 문자 ",인,토,토화
鼴,"두더지, 두더지 , 큰 쥐 좋지않은 의미 문자 ",언,목,토화
戾,"어그러질, 어그러지다, 사납다, 이르다, 안정하다, 거세다, 허물, 죄 좋지않은 의미 문자 ",여,금,토
胊,"포(말린고기), 포, 성의 하나 , 굽다, 멀다, 후연 좋지않은 의미 문자 ",구,수,목
滑,"익살스럴, 어지럽다, 흐리(게하)다, 다스리다, 물이 흐르다 좋지않은 의미 문자 ",골,수,목화
惚,"황홀할, 황홀하다 좋지않은 의미 문자 ",홀,화,토화
昧,"어두울, 어둡다, 어둑새벽(밤이 샐 무렵), 탐하다, 무릅쓰다 좋지않은 의미 문자 ",매,화,수
笨,"거칠, 거칠다 , 조잡하다 , 댓속껍질 좋지않은 의미 문자 ",분,목,수화
盪,"씻을, 씻다 , 밀다 , 흔들다 좋지않은 의미 문자 ",탕,토,화토
雖,"비록, 비록 , 아무리 ~하여도 , 그러나 , 도마뱀붙이 , 벌레 이름 , 밀다 , 추천하다 좋지않은 의미 문자 ",수,화,금
對,"대답할, 대답하다, 마주보다, 보답하다, 짝, 적수, 문제 이름 좋지않은 의미 문자 ",대,목,화
僕,"종, 종, 하인, 마부, 무리, 저(자기의 겸칭), 붙다, 숨기다 좋지않은 의미 문자 ",복,화,수목
蝮,"살무사, 살무사 , 큰 뱀 , 성의 하나 좋지않은 의미 문자 ",복,수,수목
雋,"살찐 고기, 새가 살찌다, 살찌다, 살진 고기 좋지않은 의미 문자 ",전,화,금화
鼀,"두꺼비, 두꺼비 , 두꺼비 좋지않은 의미 문자 ",축,토,금목
瘯,"옴, 옴 , 진버짐 , 피부병 좋지않은 의미 문자 ",족,수,금목
惸,"근심할,독신자, 근심하다 , 근심하는 모양 , 독신자 , 외로운 몸 좋지않은 의미 문자 ",경,화,목토
埆,"메마를, 메마르다 , 딱딱하다 , 험하다 , 가파르다 , 모자라다 좋지않은 의미 문자 ",각,토,목
苡,"질경이, 질경이, 율무 좋지않은 의미 문자 ",이,목,토
殢,"나른할, 나른하다, 정체하다 , 막히다 , 얽히다, 매달리다, 빠지다, 나른하다, 정체하다 좋지않은 의미 문자 ",체,수,금
朶,"늘어질, 늘어지다, 나뭇가지가 휘휘 늘어지다, 가지에서 휘늘어진 꽃송이 좋지않은 의미 문자 ",타,목,화
怯,"겁낼, 겁내다, 겁이 많다, 겁장이 좋지않은 의미 문자 ",겁,화,목수
悁,"성낼, 성내다, 분노하다 , 근심하다, 지치다 좋지않은 의미 문자 ",연,화,토화
役,"부릴, 수자리, 역사, 일, 일군, 부리다, 골몰하다, 줄짓다, 늘어 좋지않은 의미 문자 ",역,화,토목
褥,"요(까는침구), 요 , 까는 침구 , 깃저고리 좋지않은 의미 문자 ",욕,목,토목
捩,"비틀, 비틀다 , 꼬다 , 꺾다, 거스르다 좋지않은 의미 문자 ",렬,목,화
獫,"오랑캐 이름, 오랑캐 이름 , 사냥개 좋지않은 의미 문자 ",험,토,토수
厠,"뒷간, 뒷간, 변소, 돼지우리, 침상의 주위, 물가 좋지않은 의미 문자 ",측,목,금목
瘤,"혹, 혹 좋지않은 의미 문자 ",유,수,토
鬊,"헝클어진 머리, 헝클어진 머리 , 머리털 , 머릿수건 좋지않은 의미 문자 ",순,화,금화
畏,"두려워할, 두려워하다 , 경외하다 , 꺼리다 , 심복하다 좋지않은 의미 문자 ",외,토,토
浥,"젖을, 젖다 , 적시다 , 성의 하나 , 흐르다 좋지않은 의미 문자 ",읍,수,토수
穴,"구멍, 움, 구덩이, 굴, 구멍 좋지않은 의미 문자 ",혈,수,토화
濫,"물넘칠, 넘치다, 뜨다, 띄우다, 담그다, 번지다 좋지않은 의미 문자 ",남,수,화수
篡,"빼앗을, 좋지않은 의미 문자 ",찬,목,금화
怛,"슬플, 슬프다, 근심하다 , 애태우다 , 놀라다, 두려워하다 , 근심 좋지않은 의미 문자 ",달,화,화
痢,"설사, 설사 , 이질 , 곱똥 좋지않은 의미 문자 ",리,수,화
湣,"근심할,시호, 근심하다, 괴로워하다 , 불쌍히 여기다, 힘쓰다, 근심 좋지않은 의미 문자 ",혼,수,토화
跼,"구부릴, 구부리다 , 굽다 , 한쪽 발을 들다 좋지않은 의미 문자 ",국,토,목
櫪,"말구유, 말에게 먹이를 주는 그릇 좋지않은 의미 문자 ",력,목,화목
侵,"침노할, 침노하다, 엄습하다, 침범하다, 차츰 나아가다, 흉년 들다 좋지않은 의미 문자 ",침,화,금수
詆,"꾸짖을, 꾸짖다 , 흉보다 , 들추어내다 , 속이다 좋지않은 의미 문자 ",저,금,금
檝,"노(배젓는막대), 노 , 배 , 노를 젓다 , 모으다, 노 좋지않은 의미 문자 ",즙,목,금수
髮,"터럭, 터럭, 머리털, 초목 좋지않은 의미 문자 ",발,화,수화
鵩,"수리부엉이, 수리부엉이 좋지않은 의미 문자 ",복,화,수목
禁,"금지할, 금하다, 금령, 대궐, 감옥, 우리, 비밀, 금기, 주술, 견디다 좋지않은 의미 문자 ",금,목,목수
禋,"제사 지낼, 제사 지내다 , 공경하다 , 성의 하나 , 천제 제사하다 좋지않은 의미 문자 ",인,목,토화
謬,"그르칠, 그릇되다, 잘못, 어긋나다, 속이다 좋지않은 의미 문자 ",류,금,화
驢,"당나귀, 나귀, 몸이 작고 귀가 긴 말의 일종 좋지않은 의미 문자 ",여,화,토
頦,"아래턱, 아래턱 , 턱밑 , 볼 , 추하다 좋지않은 의미 문자 ",해,화,토
懣,"번민할, 번민하다, 답답하다 , 화내다, 번거롭다 좋지않은 의미 문자 ",문,화,수화
蜊,"참조개, 참조개 , 합리(조개) , 새조개 , 바지락 좋지않은 의미 문자 ",리,수,화
酹,"부을,제사지낼, 붓다 좋지않은 의미 문자 ",뢰,금,화
嫫,"추녀, 추녀 , 못생긴 여자 , 못생기다 좋지않은 의미 문자 ",모,토,수
譫,"헛소리, 헛소리 , 실없는 소리 , 말이 많다 , 수다스럽다 좋지않은 의미 문자 ",섬,금,금수
燼,"불탄 끝, 깜부기불(타다가 남은 것), 살아남은 나머지 좋지않은 의미 문자 ",신,화,금화
婆,"할머니, 할머니 , 늙은 여자 , 춤추는 모양 좋지않은 의미 문자 ",파,토,수
鈴,"방울, 방울 좋지않은 의미 문자 ",령,금,화토
羫,"양 갈빗대, 양 갈빗대 , 뼈대 , 양고기 포 좋지않은 의미 문자 ",강,토,목토
厄,"재앙, 액, 재앙 , 멍에 좋지않은 의미 문자 ",액,수,토목
勻,"고를, 고르다 좋지않은 의미 문자 ",균,금,목화
䆬,"떨어질, 떨어지다, 추락하다, 스러지다, 죽다, 구름이 일다 좋지않은 의미 문자 ",운,수,토화
宿,"잘, 별자리, 성수 좋지않은 의미 문자 ",숙,목,금목
叵,"어려울, 어렵다 , 불가하다 좋지않은 의미 문자 ",파,수,수
憎,"미워할, 미워하다(惡), 미움받다, 미움 좋지않은 의미 문자 ",증,화,금토
