Hanja,mean,sound,meanFiveElements,soundFiveElements
窅,"움펑눈(움푹한 눈), 움펑눈 , 으슥하다 , 멀리 바라보다 , 한적하다 , 한탄하고 원망(怨 좋지않은 의미 문자 ",요,수,토
蛆,"구더기, 파리의 애벌레 좋지않은 의미 문자 ",저,수,금
螻,"땅강아지,청개구리, 땅강아지 , 청개구리 , 악취 좋지않은 의미 문자 ",루,수,화
蒹,"갈대, 갈대 , 물억새 좋지않은 의미 문자 ",겸,목,목수
无,"없을, 없음(毋) (無의 古字) 좋지않은 의미 문자 ",무,수,수
墍,"맥질할,벽을 칠할, 맥질하다, 취하다 , 가지다 , 쉬다 좋지않은 의미 문자 ",기,토,목
凸,"불복할, 볼록하다 좋지않은 의미 문자 ",철,수,금화
傀,"허수아비, 허수아비, 크다, 도깨비(怪), 괴이하다, 좋지않은 의미 문자 ",괴,화,목
罰,"벌줄, 죄, 형벌, 벌을 주다 좋지않은 의미 문자 ",벌,목,수화
髟,"늘어질, 늘어진 모양 , 말갈기 좋지않은 의미 문자 ",표,화,수
衲,"기울, 옷을 깁다, 승복, 중 승려 좋지않은 의미 문자 ",납,목,화수
迥,"멀, 멀다, 판이하다, 아주 다르다, 뛰어나다 좋지않은 의미 문자 ",형,토,토
芹,"미나리, 미나리 좋지않은 의미 문자 ",근,목,목화
窺,"엿볼, 엿보다, 반걸음 좋지않은 의미 문자 ",규,수,목
纖,"가늘, 가늘다, 작다, 자세하다, 고운 비단 좋지않은 의미 문자 ",섬,목,금수
哀,"슬플, 슬퍼하다, 서러워하다, 민망히 여기다, 복, 슬픔 좋지않은 의미 문자 ",애,수,토
莿,"까끄라기, 벼, 가시 , 풀 이름 , 헐뜯다 좋지않은 의미 문자 ",자,목,금
癉,"앓을, 앓다 , 괴롭히다 , 노여워하다 , 황달 좋지않은 의미 문자 ",단,수,화
氅,"새털, 새털 , 새털옷 좋지않은 의미 문자 ",창,화,금토
誑,"속일, 속이다 , 기만하다 좋지않은 의미 문자 ",광,금,목토
恫,"상심할, 상심하다, 슬프다, 두려워하다 좋지않은 의미 문자 ",통,화,화토
嗠,"진한 유즙, 진한 유즙, 식초 , 술 , 과즙 좋지않은 의미 문자 ",낙,수,화목
攔,"막을, 막다 , 차단하다 , 칸막이 좋지않은 의미 문자 ",난,목,화
嶇,"험할, 험하다, 산길이 평탄하지 아니하다, 괴로워하다 좋지않은 의미 문자 ",구,토,목
羸,"파리할,고달플, 파리하다, 수척하다, 고달프다, 약하다, 엎지르다, 괴로워하다 좋지않은 의미 문자 ",리,토,화
鎔,"녹일, 쇠를 녹이다, 주조하다, 녹이다, 녹다, 거푸집 좋지않은 의미 문자 ",용,금,토
慊,"믿읍지않을, 마음에 차지 않다, 앙심을 먹다, 정성, 족하다, 혐의(=嫌) 좋지않은 의미 문자 ",겸,화,목수
毀,"헐, 헐다 , 부수다 , 제거하다, 이지러지다 좋지않은 의미 문자 ",훼,금,토
躓,"넘어질, 넘어지다 , 밟다, 멈추다, 부딪치다 , 실패하다, 못, 차질 좋지않은 의미 문자 ",지,토,금
陬,"구석, 구석, 굽어진 곳 , 산기슭 , 거처, 마을, 정월 , 땅의 이름 좋지않은 의미 문자 ",추,토,금
蜊,"참조개, 참조개 , 합리(조개) , 새조개 , 바지락 좋지않은 의미 문자 ",이,수,토
耈,"늙을, 늙다, 오래 살다, 검버섯, 늙은이 좋지않은 의미 문자 ",구,토,목
葊,"암자, 암자 , 초막 , 절, 우거지다 좋지않은 의미 문자 ",암,목,토수
煩,"번거로울, 번열증나다, 번민하다; 번거롭(게하)다, 바쁘다, 어지럽다, 시끄럽다 좋지않은 의미 문자 ",번,화,수화
巴,"꼬리, 땅 이름, 큰 뱀의 일종 좋지않은 의미 문자 ",파,토,수
匿,"숨길, 숨다, 숨기다, 숨은 죄 좋지않은 의미 문자 ",닉,수,화목
斷,"끊을, 끊다, 조각, 결단하다, 결단, 단연, 나누다, 나누이다, 한결같음 좋지않은 의미 문자 ",단,금,화
魅,"매혹할, 도깨비 요괴, 홀리다 좋지않은 의미 문자 ",매,화,수
欄,"난간, 난간, 마굿간 좋지않은 의미 문자 ",난,목,화
倨,"거만할, 거만하다, 굽다 좋지않은 의미 문자 ",거,화,목
涪,"물거품, 물거품 , 물의 이름 , 성의 하나 좋지않은 의미 문자 ",부,수,수
戭,"창, 창, 장창(긴창) 좋지않은 의미 문자 ",연,금,토화
血,"피, 피, 피칠하다, 물들이다 좋지않은 의미 문자 ",혈,수,토화
惄,"허출할(굶주림), 허기 출출하다, 근심하다 좋지않은 의미 문자 ",녁,화,화목
胜,"비릴,냄새날, 비리다, 누리다, 여위다, 개고기 냄새, 날고기 좋지않은 의미 문자 ",성,수,금토
短,"짧을, 짧다, 짦음, 짧게 하다, 흉보다, 흉 허물, 요사 좋지않은 의미 문자 ",단,금,화
莫,"없을, 없다, 말다, 빌다, 아득하다, 어둡다, 정하다, 앓다, 장막 좋지않은 의미 문자 ",막,목,수목
汙,"더러울, 더럽다, 더럽히다, 나쁘다 , 욕되다 좋지않은 의미 문자 ",오,수,토
埒,"담, 담, 울타리 , 경계 좋지않은 의미 문자 ",랄,토,화
瘁,"병들, 병들다 , 여위다 , 근심하다 , 무너지다 좋지않은 의미 문자 ",췌,수,금
躪,"짓밝을, 짓밟다 ,지나가다 , 유린하다 , 수레바퀴 자국 좋지않은 의미 문자 ",인,토,토화
抹,"지울, 바르다, 칠하다, 쓰다듬다, 문지르다, 지우다, 지워 없애다 좋지않은 의미 문자 ",말,목,수화
獘,"넘어질,짐승 이름, 넘어지다 , 해어지다 좋지않은 의미 문자 ",폐,토,수
竸,"다툴, 다투다 , 겨루다 , 쫓다, 나아가다 , 나란하다 좋지않은 의미 문자 ",경,금,목토
秘,"숨길, 숨기다, 신비하다, 오의(오묘한 비밀) 좋지않은 의미 문자 ",비,목,수
炮,"통째로 구울, 통째로 굽다 , 터지다 , 통째로 구운 고기 , 제사 , 부엌, 대포 좋지않은 의미 문자 ",포,화,수
悆,"느슨해질, 느슨해지다, 풀어지다				&,							잊을 여			총 좋지않은 의미 문자 ",서,화,금
腸,"창자, 창자, 마음 좋지않은 의미 문자 ",장,수,금토
逆,"거스를, 거스르다, 거절하다 , 어기다, 배반하다, 어지러워지다 좋지않은 의미 문자 ",역,토,토목
獃,"어리석을, 어리석다 , 못생기다 , 우두커니 서 있다 좋지않은 의미 문자 ",애,토,토
蓼,"여뀌, 여뀌(풀이름) 좋지않은 의미 문자 ",요,목,토
癩,"문둥이, 문둥이 , 문둥병 , 나병 좋지않은 의미 문자 ",나,수,화
猙,"짐승 이름, 짐승 이름 , 개털 , 얄밉다 좋지않은 의미 문자 ",쟁,토,금토
毒,"독할, 독, 해치다, 괴로워하다, 근심하다, 미워하다, 한탄하다, 좋지않은 의미 문자 ",독,토,화목
僞,"거짓, 거짓 , 사투리 , 잘못 , 작위 , 속이다 좋지않은 의미 문자 ",위,화,토
伏,"엎드릴, 엎드리다, 숨다, 숨기다, 굴복하다, 시령 이름, 길(蔔) 좋지않은 의미 문자 ",복,화,수목
鍬,"가래(괭이종류), 가래 , 삽 좋지않은 의미 문자 ",초,금,금
症,"병증세, 증세(병의 성질) 좋지않은 의미 문자 ",증,수,금토
脩,"길, 포, 말린 고기, 건육, 닦다, 마르다, 시들 좋지않은 의미 문자 ",수,수,금
噍,"지저귈, 지저귀다 , 먹다, 씹다, 애절하다 , 소리의 급한 모양, 백성 , 새 소리 좋지않은 의미 문자 ",초,수,금
䗲,"반딧불, 반딧불 좋지않은 의미 문자 ",인,수,토화
砦,"진터(진지), 적을 막기 위해 쌓은 작은 성 보루 좋지않은 의미 문자 ",채,금,금
鸏,"물새 새끼, 물새 새끼 좋지않은 의미 문자 ",몽,화,수토
阡,"두렁, (두렁) 길, 무성하다, 무덤 길, 묘도, 일천(千,仟의 通字) 좋지않은 의미 문자 ",천,토,금화
猪,"돼지, 돼지, 웅덩이, 괴다 좋지않은 의미 문자 ",저,토,금
猢,"원숭이, 원숭이 , 짐승 이름 좋지않은 의미 문자 ",호,토,토
矢,"화살, 화살, 벌이다, 맹세하다, 베풀다, 바르다 곧다, 똥 좋지않은 의미 문자 ",시,금,금
眥,"흘길, 흘기다 , 눈초리가 찢어지다 , 보다 , 눈초리 좋지않은 의미 문자 ",자,목,금
暝,"저물, 어둡다(冥), (해가) 지다, 잠을 자다, 밤 좋지않은 의미 문자 ",명,화,수토
氷,"얼음, 얼음, 얼다 좋지않은 의미 문자 ",빙,수,수토
敕,"칙서,신칙할, 칙서 , 조서 , 신칙하다 , 꾸짖다 좋지않은 의미 문자 ",칙,금,금목
擊,"칠, 치다, 부딪치다, 죽이다, 마주치다 좋지않은 의미 문자 ",격,목,목
謔,"희롱할, 희롱하다, 희롱 좋지않은 의미 문자 ",학,금,토목
刈,"벨,자르다, 베다 , 자르다, 없애다, 낫 좋지않은 의미 문자 ",예,금,토
痂,"딱지, 딱지(상처가 아문 딱지) , 옴 좋지않은 의미 문자 ",가,수,목
餓,"주릴, 주리다, 굶기다, 굶주림 좋지않은 의미 문자 ",아,수,토
禳,"제사 이름, 제사 이름 , 물리치다 좋지않은 의미 문자 ",양,목,토
窾,"빌,공허, 비다, 마르다 , 움푹 들어간 곳 , 구멍 좋지않은 의미 문자 ",관,수,목화
趁,"쫓을, 쫓다, 따르다, 달려가다 , 틈 타다, 이용하다 , 잘나아가지 못하다 , 성급하다 좋지않은 의미 문자 ",진,화,금화
弭,"활고자,그칠, 활고자 , 각궁 , 활 좋지않은 의미 문자 ",미,화,수
繚,"감길,묽을, 감기다 , 두르다 , 비틀다 , 묶다 , 다스리다 좋지않은 의미 문자 ",요,목,토
菑,"묵정밭(잡초우거진밭), 묵정밭 , 경작한 지 한 해 된 밭 , 성의 하나 좋지않은 의미 문자 ",치,목,금
劉,"성씨,죽일, 죽이다, 베풀다 , 예쁘다 , 도끼 , 칼 좋지않은 의미 문자 ",유,금,토
拐,"후릴, 속이다, 꾀어내다 좋지않은 의미 문자 ",괴,목,목
撓,"어지러울, 어지럽다, 구부러지다, 마음이 바르지 않다 좋지않은 의미 문자 ",요,목,토
离,"떠날, 떠나다, 떼어놓다, 떨어지다, 갈라지다, 흩어지다, 분산하다, 가르다 좋지않은 의미 문자 ",이,화,토
鎊,"깎을, 깎다 , 영국의 화폐이름 좋지않은 의미 문자 ",방,금,수토
蹄,"굽, (짐승의) 굽, (짐승의) 발, 올무, 차다, 밟다 좋지않은 의미 문자 ",제,토,금
襤,"헌 누더기, 누더기, 해진 옷 좋지않은 의미 문자 ",남,목,화수
